iteration;totalTime;id;molA;molB;molC;molD
521;521;1;2593;511;200;1882
522;522;1;2596;511;200;1885
523;523;1;2597;507;200;1890
524;524;1;2600;506;200;1894
525;525;1;2609;507;200;1902
526;526;1;2612;505;200;1907
527;527;1;2617;503;200;1914
528;528;1;2621;502;200;1919
529;529;1;2625;503;200;1922
530;530;1;2630;505;200;1925
531;531;1;2634;502;200;1932
532;532;1;2638;500;200;1938
533;533;1;2645;499;200;1946
534;534;1;2648;495;200;1953
535;535;1;2649;490;200;1959
536;536;1;2658;493;200;1965
537;537;1;2666;497;200;1969
538;538;1;2669;493;200;1976
539;539;1;2674;494;200;1980
540;540;1;2679;498;200;1981
541;541;1;2685;495;200;1990
542;542;1;2690;493;200;1997
543;543;1;2693;488;200;2005
544;544;1;2699;488;200;2011
545;545;1;2706;492;200;2014
546;546;1;2710;492;200;2018
547;547;1;2713;491;200;2022
548;548;1;2722;498;200;2024
549;549;1;2727;499;200;2028
550;550;1;2731;496;200;2035
551;551;1;2736;494;200;2042
552;552;1;2744;496;200;2048
553;553;1;2752;501;200;2051
554;554;1;2759;506;200;2053
555;555;1;2773;512;200;2061
556;556;1;2779;512;200;2067
557;557;1;2783;506;200;2077
558;558;1;2792;508;200;2084
559;559;1;2796;505;200;2091
560;560;1;2798;498;200;2100
561;561;1;2804;499;200;2105
562;562;1;2809;500;200;2109
563;563;1;2813;501;200;2112
564;564;1;2816;499;200;2117
565;565;1;2821;498;200;2123
566;566;1;2826;495;200;2131
567;567;1;2833;498;200;2135
568;568;1;2836;499;200;2137
569;569;1;2841;500;200;2141
570;570;1;2844;503;200;2141
571;571;1;2847;496;200;2151
572;572;1;2850;495;200;2155
573;573;1;2858;498;200;2160
574;574;1;2862;496;200;2166
575;575;1;2871;503;200;2168
576;576;1;2878;505;200;2173
577;577;1;2880;498;200;2182
578;578;1;2882;490;200;2192
579;579;1;2886;492;200;2194
580;580;1;2892;493;200;2199
581;581;1;2894;492;200;2202
582;582;1;2896;487;200;2209
583;583;1;2898;485;200;2213
584;584;1;2901;482;200;2219
585;585;1;2908;484;200;2224
586;586;1;2913;488;200;2225
587;587;1;2918;485;200;2233
588;588;1;2923;483;200;2240
589;589;1;2926;479;200;2247
590;590;1;2928;473;200;2255
591;591;1;2932;469;200;2263
592;592;1;2936;468;200;2268
593;593;1;2938;466;200;2272
594;594;1;2942;464;200;2278
595;595;1;2945;463;200;2282
596;596;1;2948;460;200;2288
597;597;1;2949;453;200;2296
598;598;1;2950;452;200;2298
599;599;1;2959;455;200;2304
600;600;1;2964;454;200;2310
601;601;1;2971;453;200;2318
602;602;1;2973;452;200;2321
603;603;1;2982;455;200;2327
604;604;1;2985;453;200;2332
605;605;1;2991;454;200;2337
606;606;1;2997;451;200;2346
607;607;1;3003;454;200;2349
608;608;1;3009;455;200;2354
609;609;1;3017;460;200;2357
610;610;1;3023;462;200;2361
611;611;1;3027;461;200;2366
612;612;1;3031;461;200;2370
613;613;1;3039;465;200;2374
614;614;1;3050;468;200;2382
615;615;1;3052;466;200;2386
616;616;1;3056;466;200;2390
617;617;1;3060;465;200;2395
618;618;1;3065;466;200;2399
619;619;1;3070;468;200;2402
620;620;1;3074;467;200;2407
621;621;1;3080;471;200;2409
622;622;1;3087;473;200;2414
623;623;1;3092;472;200;2420
624;624;1;3095;473;200;2422
625;625;1;3098;468;200;2430
626;626;1;3103;467;200;2436
627;627;1;3108;467;200;2441
628;628;1;3115;468;200;2447
629;629;1;3120;469;200;2451
630;630;1;3125;472;200;2453
631;631;1;3127;470;200;2457
632;632;1;3134;474;200;2460
633;633;1;3137;473;200;2464
634;634;1;3145;475;200;2470
635;635;1;3152;476;200;2476
636;636;1;3156;478;200;2478
637;637;1;3160;475;200;2485
638;638;1;3164;473;200;2491
639;639;1;3167;471;200;2496
640;640;1;3171;471;200;2500
641;641;1;3177;470;200;2507
642;642;1;3182;470;200;2512
643;643;1;3186;468;200;2518
644;644;1;3189;468;200;2521
645;645;1;3192;468;200;2524
646;646;1;3198;470;200;2528
647;647;1;3203;471;200;2532
648;648;1;3208;470;200;2538
649;649;1;3213;473;200;2540
650;650;1;3218;467;200;2551
651;651;1;3223;466;200;2557
652;652;1;3231;468;200;2563
653;653;1;3235;469;200;2566
654;654;1;3239;469;200;2570
655;655;1;3246;470;200;2576
656;656;1;3249;472;200;2577
657;657;1;3256;475;200;2581
658;658;1;3259;474;200;2585
659;659;1;3264;475;200;2589
660;660;1;3268;476;200;2592
661;661;1;3271;476;200;2595
662;662;1;3279;482;200;2597
663;663;1;3286;487;200;2599
664;664;1;3292;493;200;2599
665;665;1;3298;492;200;2606
666;666;1;3300;489;200;2611
667;667;1;3302;483;200;2619
668;668;1;3309;481;200;2628
669;669;1;3320;489;200;2631
670;670;1;3327;491;200;2636
671;671;1;3331;490;200;2641
672;672;1;3338;494;200;2644
673;673;1;3340;494;200;2646
674;674;1;3343;493;200;2650
675;675;1;3345;492;200;2653
676;676;1;3347;492;200;2655
677;677;1;3356;495;200;2661
678;678;1;3361;495;200;2666
679;679;1;3367;498;200;2669
680;680;1;3376;501;200;2675
681;681;1;3382;498;200;2684
682;682;1;3392;503;200;2689
683;683;1;3396;500;200;2696
684;684;1;3399;496;200;2703
685;685;1;3407;498;200;2709
686;686;1;3414;502;200;2712
687;687;1;3416;498;200;2718
688;688;1;3422;498;200;2724
689;689;1;3424;495;200;2729
690;690;1;3426;490;200;2736
691;691;1;3432;491;200;2741
692;692;1;3439;491;200;2748
693;693;1;3446;492;200;2754
694;694;1;3447;485;200;2762
695;695;1;3452;488;200;2764
696;696;1;3461;495;200;2766
697;697;1;3463;493;200;2770
698;698;1;3469;493;200;2776
699;699;1;3474;490;200;2784
700;700;1;3476;488;200;2788
701;701;1;3482;490;200;2792
702;702;1;3489;485;201;2803
703;703;1;3493;483;200;2810
704;704;1;3495;479;200;2816
705;705;1;3503;482;200;2821
706;706;1;3510;486;200;2824
707;707;1;3513;485;200;2828
708;708;1;3521;488;200;2833
709;709;1;3526;486;200;2840
710;710;1;3532;486;200;2846
711;711;1;3534;485;200;2849
712;712;1;3540;491;200;2849
713;713;1;3543;488;200;2855
714;714;1;3546;488;200;2858
715;715;1;3552;489;200;2863
716;716;1;3555;488;200;2867
717;717;1;3559;489;200;2870
718;718;1;3565;489;200;2876
719;719;1;3567;488;200;2879
720;720;1;3570;489;200;2881
721;721;1;3572;484;200;2888
722;722;1;3577;481;200;2896
723;723;1;3580;482;200;2898
724;724;1;3586;482;200;2904
725;725;1;3594;484;200;2910
726;726;1;3597;481;200;2916
727;727;1;3605;487;200;2918
728;728;1;3607;483;200;2924
729;729;1;3610;480;200;2930
730;730;1;3613;478;200;2935
731;731;1;3618;477;200;2941
732;732;1;3620;477;200;2943
733;733;1;3625;478;200;2947
734;734;1;3628;478;200;2950
735;735;1;3635;477;200;2958
736;736;1;3641;476;200;2965
737;737;1;3647;478;200;2969
738;738;1;3650;478;200;2972
739;739;1;3656;481;200;2975
740;740;1;3662;482;200;2980
741;741;1;3667;482;200;2985
742;742;1;3672;484;200;2988
743;743;1;3676;483;200;2993
744;744;1;3682;485;200;2997
745;745;1;3685;484;200;3001
746;746;1;3692;489;200;3003
747;747;1;3700;492;200;3008
748;748;1;3703;492;200;3011
749;749;1;3707;492;200;3015
750;750;1;3711;491;200;3020
751;751;1;3718;496;200;3022
752;752;1;3720;489;200;3031
753;753;1;3730;495;200;3035
754;754;1;3733;494;200;3039
755;755;1;3738;491;200;3047
756;756;1;3744;494;200;3050
757;757;1;3748;494;200;3054
758;758;1;3754;496;200;3058
759;759;1;3755;491;200;3064
760;760;1;3759;491;200;3068
761;761;1;3766;491;200;3075
762;762;1;3769;487;200;3082
763;763;1;3774;489;200;3085
764;764;1;3781;490;200;3091
765;765;1;3787;490;200;3097
766;766;1;3791;489;200;3102
767;767;1;3794;486;200;3108
768;768;1;3798;483;200;3115
769;769;1;3803;480;200;3123
770;770;1;3806;481;200;3125
771;771;1;3808;480;200;3128
772;772;1;3812;479;200;3133
773;773;1;3816;475;200;3141
774;774;1;3820;473;200;3147
775;775;1;3824;469;200;3155
776;776;1;3832;472;200;3160
777;777;1;3835;471;200;3164
778;778;1;3835;465;200;3170
779;779;1;3840;469;200;3171
780;780;1;3846;472;200;3174
781;781;1;3850;469;200;3181
782;782;1;3857;467;200;3190
783;783;1;3859;468;200;3191
784;784;1;3863;463;200;3200
785;785;1;3867;464;200;3203
786;786;1;3874;462;200;3212
787;787;1;3879;463;200;3216
788;788;1;3881;463;200;3218
789;789;1;3886;457;200;3229
790;790;1;3890;456;200;3234
791;791;1;3894;456;200;3238
792;792;1;3898;455;200;3243
793;793;1;3901;455;200;3246
794;794;1;3903;455;200;3248
795;795;1;3907;454;200;3253
796;796;1;3912;456;200;3256
797;797;1;3917;457;200;3260
798;798;1;3922;454;200;3268
799;799;1;3929;457;200;3272
800;800;1;3936;461;200;3275
801;801;1;3944;463;200;3281
802;802;1;3951;464;200;3287
803;803;1;3954;464;200;3290
804;804;1;3958;462;200;3296
805;805;1;3965;461;200;3304
806;806;1;3970;462;200;3308
807;807;1;3979;465;200;3314
808;808;1;3981;461;200;3320
809;809;1;3986;461;200;3325
810;810;1;3987;459;200;3328
811;811;1;3994;461;200;3333
812;812;1;4001;460;200;3341
813;813;1;4010;465;200;3345
814;814;1;4017;468;200;3349
815;815;1;4021;468;200;3353
816;816;1;4024;461;200;3363
817;817;1;4026;456;200;3370
818;818;1;4027;448;200;3379
819;819;1;4031;448;200;3383
820;820;1;4035;447;200;3388
821;821;1;4039;449;200;3390
822;822;1;4043;447;200;3396
823;823;1;4049;450;200;3399
824;824;1;4056;449;200;3407
825;825;1;4061;449;200;3412
826;826;1;4067;450;200;3417
827;827;1;4075;454;200;3421
828;828;1;4081;454;200;3427
829;829;1;4090;458;200;3432
830;830;1;4096;458;200;3438
831;831;1;4098;456;200;3442
832;832;1;4100;454;200;3446
833;833;1;4106;455;200;3451
834;834;1;4110;455;200;3455
835;835;1;4115;459;200;3456
836;836;1;4119;457;200;3462
837;837;1;4124;460;200;3464
838;838;1;4127;456;200;3471
839;839;1;4132;459;200;3473
840;840;1;4135;458;200;3477
841;841;1;4144;461;200;3483
842;842;1;4145;457;200;3488
843;843;1;4149;457;200;3492
844;844;1;4153;457;200;3496
845;845;1;4159;456;200;3503
846;846;1;4163;456;200;3507
847;847;1;4166;456;200;3510
848;848;1;4167;453;200;3514
849;849;1;4173;449;200;3524
850;850;1;4177;448;200;3529
851;851;1;4179;447;200;3532
852;852;1;4183;447;200;3536
853;853;1;4184;446;200;3538
854;854;1;4189;445;200;3544
855;855;1;4192;439;200;3553
856;856;1;4199;443;200;3556
857;857;1;4201;439;200;3562
858;858;1;4206;440;200;3566
859;859;1;4210;439;200;3571
860;860;1;4214;436;200;3578
861;861;1;4221;442;200;3579
862;862;1;4228;444;200;3584
863;863;1;4235;445;200;3590
864;864;1;4241;444;200;3597
865;865;1;4244;437;200;3607
866;866;1;4252;440;200;3612
867;867;1;4256;442;200;3614
868;868;1;4259;443;200;3616
869;869;1;4263;443;200;3620
870;870;1;4275;451;200;3624
871;871;1;4278;451;200;3627
872;872;1;4284;451;200;3633
873;873;1;4289;453;200;3636
874;874;1;4296;453;200;3643
875;875;1;4300;452;200;3648
876;876;1;4302;448;200;3654
877;877;1;4305;444;200;3661
878;878;1;4314;449;200;3665
879;879;1;4317;449;200;3668
880;880;1;4323;453;200;3670
881;881;1;4325;451;200;3674
882;882;1;4329;451;200;3678
883;883;1;4337;454;200;3683
884;884;1;4342;452;200;3690
885;885;1;4351;456;200;3695
886;886;1;4354;450;200;3704
887;887;1;4355;449;200;3706
888;888;1;4359;448;200;3711
889;889;1;4363;449;200;3714
890;890;1;4368;450;200;3718
891;891;1;4375;452;200;3723
892;892;1;4384;458;200;3726
893;893;1;4391;460;200;3731
894;894;1;4396;460;200;3736
895;895;1;4401;462;200;3739
896;896;1;4407;465;200;3742
897;897;1;4412;466;200;3746
898;898;1;4415;464;200;3751
899;899;1;4418;460;200;3758
900;900;1;4424;462;200;3762
901;901;1;4428;466;200;3762
902;902;1;4431;462;200;3769
903;903;1;4435;463;200;3772
904;904;1;4436;459;200;3777
905;905;1;4442;460;200;3782
906;906;1;4443;456;200;3787
907;907;1;4450;457;200;3793
908;908;1;4455;459;200;3796
909;909;1;4459;456;200;3803
910;910;1;4467;462;200;3805
911;911;1;4475;466;200;3809
912;912;1;4480;464;200;3816
913;913;1;4488;470;200;3818
914;914;1;4491;470;200;3821
915;915;1;4494;468;200;3826
916;916;1;4497;465;200;3832
917;917;1;4501;461;200;3840
918;918;1;4509;463;200;3846
919;919;1;4515;464;200;3851
920;920;1;4518;462;200;3856
921;921;1;4527;467;200;3860
922;922;1;4533;463;200;3870
923;923;1;4539;459;200;3880
924;924;1;4542;457;200;3885
925;925;1;4544;452;200;3892
926;926;1;4547;451;200;3896
927;927;1;4555;456;200;3899
928;928;1;4563;461;200;3902
929;929;1;4568;461;200;3907
930;930;1;4572;462;200;3910
931;931;1;4576;460;200;3916
932;932;1;4584;464;200;3920
933;933;1;4589;464;200;3925
934;934;1;4593;462;200;3931
935;935;1;4596;460;200;3936
936;936;1;4596;455;200;3941
937;937;1;4598;445;200;3953
938;938;1;4605;449;200;3956
939;939;1;4607;450;200;3957
940;940;1;4614;451;200;3963
941;941;1;4616;449;200;3967
942;942;1;4618;446;200;3972
943;943;1;4623;445;200;3978
944;944;1;4625;444;200;3981
945;945;1;4633;450;200;3983
946;946;1;4636;447;200;3989
947;947;1;4639;447;200;3992
948;948;1;4643;445;200;3998
949;949;1;4646;442;200;4004
950;950;1;4649;442;200;4007
951;951;1;4654;446;200;4008
952;952;1;4659;446;200;4013
953;953;1;4662;442;200;4020
954;954;1;4669;440;200;4029
955;955;1;4673;437;200;4036
956;956;1;4680;441;200;4039
957;957;1;4687;446;200;4041
958;958;1;4690;441;200;4049
959;959;1;4691;439;200;4052
960;960;1;4694;437;200;4057
961;961;1;4704;442;200;4062
962;962;1;4711;446;200;4065
963;963;1;4716;446;200;4070
964;964;1;4724;451;200;4073
965;965;1;4731;451;200;4080
966;966;1;4740;456;200;4084
967;967;1;4745;457;200;4088
968;968;1;4748;458;200;4090
969;969;1;4753;455;200;4098
970;970;1;4756;455;200;4101
971;971;1;4763;458;200;4105
972;972;1;4772;465;200;4107
973;973;1;4778;469;200;4109
974;974;1;4781;467;200;4114
975;975;1;4787;468;200;4119
976;976;1;4788;462;200;4126
977;977;1;4791;463;200;4128
978;978;1;4795;464;200;4131
979;979;1;4799;466;200;4133
980;980;1;4800;464;200;4136
981;981;1;4808;465;200;4143
982;982;1;4813;466;200;4147
983;983;1;4818;461;200;4157
984;984;1;4825;460;200;4165
985;985;1;4832;462;200;4170
986;986;1;4838;462;200;4176
987;987;1;4842;462;200;4180
988;988;1;4847;461;200;4186
989;989;1;4849;461;200;4188
990;990;1;4854;459;200;4195
991;991;1;4858;461;200;4197
992;992;1;4866;466;200;4200
993;993;1;4870;465;200;4205
994;994;1;4874;466;200;4208
995;995;1;4878;464;200;4214
996;996;1;4882;464;200;4218
997;997;1;4888;469;200;4219
998;998;1;4896;465;200;4231
999;999;1;4899;463;200;4236
1000;1000;1;4907;465;200;4242
1001;1001;1;4914;470;200;4244
